cod_munic,ano,cod_uf,nome_uf,pib,state.x,popdens,poprural,prefeito,govpt,poptot.y,ruralpc,hdi.2010.100,hdi.2000.100,pref.pt,organ,op,esq
2306405,2009,23,Ceará,530908.04,6,70.55996342,48827.4,PSDB,0,113895,0.4287054,6.4,6.59,0,358,0,0.882022471910112
2307304,2005,23,Ceará,856517.21,6,928.4818673,9864.5,PSDB,0,231036,0.04269681,6.94,6.97,0,187,0,0.067226890756303
2307304,2009,23,Ceará,1595504.1,6,989.2537937,9831.3,PT,0,246158,0.03993898,6.94,6.97,1,233,1,0.741228070175439
2307650,2005,23,Ceará,2312878.32,6,1822.77211,1002,PL,0,194395,0.005154454,6.86,7.36,0,159,1,0.458695652173913
2307650,2009,23,Ceará,3534385.07,6,1932.760108,1354,PR,0,206125,0.00656883,6.86,7.36,0,132,0,0.269087523277467
2312908,2005,23,Ceará,1489685.6,6,80.90595069,21348.5,PPS,0,171755,0.1242962,7.14,6.99,0,170,1,0.228571428571429
2312908,2009,23,Ceará,1964743.01,6,87.11538996,21812.9,PSB,0,184937,0.1179477,7.14,6.99,0,192,0,0.80718336483932
2403251,2005,24,Rio Grande do Norte,1124275.7,19,1324.788817,16258.78,PSB,0,163573,0.09939769,7.66,7.6,0,66,0,0.209677419354839
2403251,2009,24,Rio Grande do Norte,1963383.47,19,1576.71842,16825,PDT,0,194679,0.08642432,7.66,7.6,0,119,0,0.517857142857143
2408003,2005,24,Rio Grande do Norte,1919782.9,19,112.811069,18669,PFL,0,236828,0.07882936,7.2,7.35,0,216,0,0.163934426229508
2408003,2009,24,Rio Grande do Norte,2910955.6,19,121.5709942,21796.2,DEM,0,255218,0.08540228,7.2,7.35,0,225,0,0.137254901960784
2408102,2005,24,Rio Grande do Norte,6643982.58,19,4531.925579,0,PSB,0,758028,0,7.63,7.88,0,801,1,0.150375939849624
2408102,2009,24,Rio Grande do Norte,10369581.17,19,4750.556007,0,PV,0,794597,0,7.63,7.88,0,882,0,0.308791208791209
2504009,2005,25,Paraíba,2219610.34,14,624.377346,17918,PMDB,0,370272,0.04839145,7.2,7.21,0,437,1,0.349680170575693
2504009,2009,25,Paraíba,3894133.46,14,644.533292,17974.8,PMDB,0,382225,0.04702675,7.2,7.21,0,454,1,0.61878144214645
2507507,2005,25,Paraíba,5015921.18,14,3124.364582,1374.5,PSB,0,660725,0.002080291,7.63,7.83,0,743,1,0.44115292233787
2507507,2009,25,Paraíba,8638329.3,14,3361.896205,2474.1,PSB,0,710957,0.003479957,7.63,7.83,0,864,1,0.677759056444819
2513703,2005,25,Paraíba,695135.67,14,161.7039051,15980,PDT,0,118077,0.1353354,6.27,6.59,0,68,0,0.567567567567568
2513703,2009,25,Paraíba,1138589.15,14,164.1497936,16468.8,PMDB,0,119863,0.1373969,6.27,6.59,0,85,0,0.666666666666667
